sent_id,symbol,pub_date,lang,elr,prob,present,technology,technologies,subject_ok,verb_from_list,verb,tier,text
ABCO|2025-08-14|DisclosuresDirectorsReport|jsc_TheMembersOfBoardOfDirectorsNamesAndNamesAndRanksOfSeniorExecutiveManagementWithBriefResumeOfEach|0|en|171,ABCO,2025-08-14,en,DisclosuresDirectorsReport,0.9973,1,Big Data,Big Data,False,False,,1,"In 2016, Mr. Al Mohtasib joined Jordan Ahli Bank as a Middleware, BI Manager and in 2018 he was promoted to AVP-Ahli Labs & Data Analytics (Innovation Department)."
AHLI|2022-04-02|DisclosuresChairmansStatement|jsc_DisclosureOfStatementOfBoardOfDirectorsChairman|0|en|10,AHLI,2022-04-02,en,DisclosuresChairmansStatement,0.9986,1,AI/ML,AI/ML,True,False,utilise,1,"Jordan Ahli Bank strives on several fronts to maximize the benefits of artificial intelligence, and machine learning utilizing them in Data Science to automate tasks and workflow analysis."
AHLI|2022-04-02|DisclosuresChairmansStatement|jsc_DisclosureOfStatementOfBoardOfDirectorsChairman|0|en|11,AHLI,2022-04-02,en,DisclosuresChairmansStatement,0.9986,1,Cloud|ERP,Cloud|ERP,True,True,adopt,2,"So far, Jordan Ahli Bank has automated over 400 internal operations and adopted second-generation technologies such as Blockchain, Cloud Computing, Microservices, Open API to improve customer experience, enhance productivity, and align them with reducing costs and risks plans."
AHLI|2022-04-02|DisclosuresDirectorsReport|jsc_DescriptionOfSubsidiaryCompaniesNatureOfTheirBusinessAndTheirAreasOfActivity|0|en|47,AHLI,2022-04-02,en,DisclosuresDirectorsReport,0.9985,1,AI/ML,AI/ML,True,False,automate,1,"As a UiPathTM️ Gold Partner, AHLI FINTECH continued with its development of Robotic Process Automation (RPA) solutions, automating over 32 processes for Jordan Ahli Bank, almost 1.5 times the processes that were automated the previous year."
AHLI|2022-04-02|DisclosuresDirectorsReport|jsc_DescriptionOfSubsidiaryCompaniesNatureOfTheirBusinessAndTheirAreasOfActivity|0|en|49,AHLI,2022-04-02,en,DisclosuresDirectorsReport,0.9986,1,AI/ML,AI/ML,False,True,leverage,1,"AnaMeen leverages 5th generation technologies including Deep Learning, Machine Learning and Artificial Intelligence to aid in validating and authenticating the digital identities of its users."
AHLI|2022-04-02|DisclosuresDirectorsReport|jsc_DescriptionOfSubsidiaryCompaniesNatureOfTheirBusinessAndTheirAreasOfActivity|0|ar|41,AHLI,2022-04-02,ar,DisclosuresDirectorsReport,0.0005,0,none,,False,False,,0,بصفتها شريكاً ذهبياً لـ TM️UiPath ، عملت الشركةُ على دعم فريق الابداع والابتكار الخاص بالبنك الأهلي في تطوير حلول أتمتةٍ روبوتية للبنك الأهلي مما ساهم في أتمتةِ ما يزيدُ عن 32 عملية تتم داخل البنك .
AHLI|2022-04-02|DisclosuresDirectorsReport|jsc_DisclosureOfCompanysAccomplishmentsSupportedByQuantitativeIndicatorsAndDescriptionOfSignificantOccurrencesToCompanyDuringFiscalYear|0|en|57,AHLI,2022-04-02,en,DisclosuresDirectorsReport,0.9987,1,AI/ML|Big Data,AI/ML|Big Data,True,True,use,2,Jordan Ahli Bank is using the capabilities of Data Lake house to improve financial decision making and product design via AI & Machine Learning.
AHLI|2022-04-02|DisclosuresDirectorsReport|jsc_DisclosureOfCompanysAccomplishmentsSupportedByQuantitativeIndicatorsAndDescriptionOfSignificantOccurrencesToCompanyDuringFiscalYear|0|ar|43,AHLI,2022-04-02,ar,DisclosuresDirectorsReport,0.9986,1,AI/ML,AI/ML,True,False,استخدم,1,يستخدم البنك الأهلي الأردني قدرات Data Lake house لتحسين عملية اتخاذ القرارات المالية وتصميم المنتجات من خلال الذكاء الاصطناعي والتعلم الآلي (Machine Learning & AI) .
AHLI|2022-04-02|DisclosuresDirectorsReport|jsc_DisclosureOfCompanysContributionToEnvironmentalProtectionAndLocalCommunityService|0|en|13,AHLI,2022-04-02,en,DisclosuresDirectorsReport,0.9985,1,AI/ML,AI/ML,False,False,,1,"On the same level, the Bank provided its support for the second phase of the national technological project organized by Eureka Academy, which aims to qualify and train 500 students from government schools from different governorates of the Kingdom on advanced courses in technology, including information security, artificial intelligence and programming, in cooperation with a number of Jordanian universities."
AHLI|2022-04-02|DisclosuresDirectorsReport|jsc_DisclosureOfCompanysContributionToEnvironmentalProtectionAndLocalCommunityService|0|en|51,AHLI,2022-04-02,en,DisclosuresDirectorsReport,0.9985,1,AI/ML,AI/ML,False,True,automate,1,SME growth More than 40 processes were automated through our strategic partnership with UiPath for Robotic Process Automation (RPA) solutions.
AHLI|2022-04-02|DisclosuresDirectorsReport|jsc_DisclosureOfCompanysContributionToEnvironmentalProtectionAndLocalCommunityService|0|ar|13,AHLI,2022-04-02,ar,DisclosuresDirectorsReport,0.9986,1,AI/ML,AI/ML,False,False,,1,وعلى الصعيد ذاته قدّم البنك دعمه للمرحلة الثانية من المشروع الوطني التكنولوجي الذي تنظمه أكاديمية يوريكا والهادف الى تأهيل وتدريب 500 طالب وطالبة من المدارس الحكومية من مختلف محافظات المملكة على مساقات متقدمة في التكنولوجيا تشمل أمن المعلومات، الذكاء الاصطناعي والبرمجة بالتعاون مع عدد من الجامعات الأردنية.
AHLI|2022-04-02|DisclosuresDirectorsReport|jsc_DisclosureOfImportantProspectiveDevelopmentsIncludingAnyNewExpansionsAndProjectsCompanysProposedPlanForAtLeastOneUpcomingYearAndBoardOfDirectorsForecastsForOutcomesOfCompanyActivities|0|en|17,AHLI,2022-04-02,en,DisclosuresDirectorsReport,0.9986,1,AI/ML,AI/ML,True,True,implement,2,"Information Technology 1. Implement New IT Service Management System “ ITSM “ 2. Implement new Corporate Internet Banking Solution 3. Implement Digital Voucher Solution. 4. Upgrade Core Banking T24 to the latest Release R21 5. Implement Loan Origination System for corporate sector 6. Implement Data Classification solution. 7. Implement financial fraud detection/prevention. 8. New CRM and Contact Center 9. Implement Back up solution for end points “ DLO “ Human Resources Continuing to strive to consolidate the concept of corporate culture among the bank’s employees and apply it to all practices in a way that highlights the identity of the bank in front of its customers, and to work to secure a comfortable, flexible, stimulating and positive work environment that enhances love, care and belonging to the bank."
AMAL|2023-04-30|DisclosuresDirectorsReport|jsc_DisclosureOfIssuingCompanysOrganizationalChartNumberOfItsEmployeesAndTheirClassesOfQualificationAndItsPersonnelQualifyingAndTrainingPrograms|0|en|0,AMAL,2023-04-30,en,DisclosuresDirectorsReport,0.9979,1,XBRL,XBRL,False,False,,1,- Company’s organizational structure : 9.B- Number of Staff and academic qualifications: Qualification Number of Staff Master’s degree 1 Bachelor's degree 6 Intermediate Diploma 1 High school 1 9.B- Qualification and training programs for company staff: # Qualification and Training Programs Number of Staff 1 Excel in Accounting and Financial Analysis 5 2 A virtual remote training workshop (XBRL electronic disclosure) 2 3 FATCA- Foreign Account Tax Compliance 9 4 Global Financial Compliance 1 5 Combating Financial Crimes 4 6 Trading rules applicable in the Amman Stock Exchange 2 7 Anti-money laundering and terrorist financing requirements in cooperation with the Securities Commission 2 8 Skills of checking and detecting forged signatures and matching them 5
APOT|2024-04-29|DisclosuresDirectorsReport|jsc_DisclosureOfImportantProspectiveDevelopmentsIncludingAnyNewExpansionsAndProjectsCompanysProposedPlanForAtLeastOneUpcomingYearAndBoardOfDirectorsForecastsForOutcomesOfCompanyActivities|0|en|33,APOT,2024-04-29,en,DisclosuresDirectorsReport,0.9986,1,AI/ML,AI/ML,True,True,implement,2,"This project also includes the separation of storage operations for fertilizers of different types and colours, which works to ensure product quality and adherence to internationally required specifications, which enhances the Company’s competitiveness at the global level. 5. Digital transformation The Company is implementing a comprehensive plan for digital transformation and artificial intelligence applications."
APOT|2024-04-29|DisclosuresDirectorsReport|jsc_DisclosureOfImportantProspectiveDevelopmentsIncludingAnyNewExpansionsAndProjectsCompanysProposedPlanForAtLeastOneUpcomingYearAndBoardOfDirectorsForecastsForOutcomesOfCompanyActivities|0|en|34,APOT,2024-04-29,en,DisclosuresDirectorsReport,0.9986,1,AI/ML|Big Data,AI/ML|Big Data,False,False,focus_on,1,"This plan focuses on developing the Company's technological infrastructure and applying digital transformation across all production and administrative operations through the integration of Internet of Things technology, sensors, measuring devices, as well as smart solutions and artificial intelligence applications."
APOT|2024-04-29|DisclosuresDirectorsReport|jsc_DisclosureOfImportantProspectiveDevelopmentsIncludingAnyNewExpansionsAndProjectsCompanysProposedPlanForAtLeastOneUpcomingYearAndBoardOfDirectorsForecastsForOutcomesOfCompanyActivities|0|ar|33,APOT,2024-04-29,ar,DisclosuresDirectorsReport,0.9986,1,AI/ML|Big Data,AI/ML|Big Data,True,False,ب+مصدر,1,التحول الرقمي تقوم الشركة بعمل خطة متكاملة للتحول الرقمي وتطبيقات الذكاء الاصطناعي حيث تعنى هذه الخطة بتطوير البنية التكنولوجية للشركة وتطبيق التحول الرقمي في كافة عمليات الشركة الإنتاجية والإدارية عن طريق إدخال تقنية انترنت الأشياء وأجهزة الاستشعار وأجهزة القياس بالإضافة الى الحلول الذكية وتطبيقات الذكاء الاصطناعي.
APOT|2024-04-29|DisclosuresDirectorsReport|jsc_TheMembersOfBoardOfDirectorsNamesAndNamesAndRanksOfSeniorExecutiveManagementWithBriefResumeOfEach|0|ar|102,APOT,2024-04-29,ar,DisclosuresDirectorsReport,0.9987,1,Big Data,Big Data,False,True,شغل,1,يشغل المهندس اللوباني حالياً منصب عضو في الفريق الاستشاري الاستراتيجي للجنة ذكاء الأعمال التابع للاتّحاد الدولي للأسمدة ( IFA ) ومقرراً لمجموعة العمل الخاصة بالطلب العالمي للأسمدة ونائب رئيس اللجنة الاقتصادية للاتحاد العربي للأسمدة.
ARBK|2025-04-06|DisclosuresChairmansStatement|jsc_DisclosureOfStatementOfBoardOfDirectorsChairman|0|en|33,ARBK,2025-04-06,en,DisclosuresChairmansStatement,0.9987,1,AI/ML,AI/ML,True,True,implement,2,"We continued to develop our range of services and implement the latest digital solutions, supported by artificial intelligence, to deliver comprehensive and innovative banking and financing solutions tailored to the diverse needs of our corporate, institutional, and individual clients across various sectors."
ARBK|2025-04-06|DisclosuresChairmansStatement|jsc_DisclosureOfStatementOfBoardOfDirectorsChairman|0|en|41,ARBK,2025-04-06,en,DisclosuresChairmansStatement,0.9985,1,AI/ML,AI/ML,True,True,adopt,2,"Alongside this, we will enhance operational efficiency by adopting the latest FinTech solutions and artificial intelligence technologies."
ARBK|2025-04-06|DisclosuresChairmansStatement|jsc_DisclosureOfStatementOfBoardOfDirectorsChairman|0|ar|22,ARBK,2025-04-06,ar,DisclosuresChairmansStatement,0.9986,1,AI/ML,AI/ML,False,False,,1,وعلى مدار العام، واصل البنك العربي تعزيز مكانته كمؤسسة مالية رائدة محلياً وإقليمياً، مستفيداً من شبكة فروعه الواسعة، وخبراته المتجذرة في أسواق المنطقة، حيث استمر البنك في تطوير منظومة خدماته وتوظيف أحدث الحلول الرقمية المدعومة بتقنيات الذكاء الاصطناعي لتقديم حلول مصرفية وتمويلية متكاملة ومبتكرة تلبي احتياجات عملائه المتنوعة من الشركات والمؤسسات والأفراد عبر مختلف القطاعات.
ARBK|2025-04-06|DisclosuresChairmansStatement|jsc_DisclosureOfStatementOfBoardOfDirectorsChairman|0|ar|28,ARBK,2025-04-06,ar,DisclosuresChairmansStatement,0.9985,1,AI/ML,AI/ML,True,True,بنى,2,نؤكد في مستهل عامٍ جديد من مسيرة مؤسستنا المالية الرائدة على المضي قدماً في تنفيذ استراتيجيتنا الشاملة المنبثقة عن رؤيتنا المستقبلية الطموحة كما نؤكد عزمنا على استكمال خططنا الهادفة للنمو، وتعزيز حضورنا في الأسواق الواعدة واستثمار الفرص التي تتيحها البيئة الاقتصادية المتغيرة، ومواصلة تطوير قطاعات أعمالنا الأساسية، إلى جانب تحسين الكفاءة التشغيلية عبر تبني أحدث حلول التكنولوجيا المالية وتقنيات الذكاء الاصطناعي.
ARBK|2025-04-06|DisclosuresDirectorsReport|jsc_DescriptionOfCompanysMainActivitiesWithTheirRespectiveGeographicalLocationsSizeOfCapitalInvestmentAndNumberOfEmployees|0|en|7,ARBK,2025-04-06,en,DisclosuresDirectorsReport,0.9986,1,Big Data,Big Data,True,True,use,2,The division provides advanced digital channels and effectively uses data analytics to optimise decision-making and strengthen the bank’s competitive position.
ARBK|2025-04-06|DisclosuresDirectorsReport|jsc_DescriptionOfCompanysMainActivitiesWithTheirRespectiveGeographicalLocationsSizeOfCapitalInvestmentAndNumberOfEmployees|0|en|11,ARBK,2025-04-06,en,DisclosuresDirectorsReport,0.9986,1,Big Data,Big Data,True,True,leverage,2,"Furthermore, Arab Bank prioritises enhancing customer engagement by leveraging cutting-edge technologies, advanced data analytics, and proactive communication to provide clients with valuable content and personalised recommendations that meet their aspirations and simplify their banking experience."
ARBK|2025-04-06|DisclosuresDirectorsReport|jsc_DescriptionOfCompanysMainActivitiesWithTheirRespectiveGeographicalLocationsSizeOfCapitalInvestmentAndNumberOfEmployees|0|en|26,ARBK,2025-04-06,en,DisclosuresDirectorsReport,0.9986,1,AI/ML,AI/ML,True,True,focus_on,2,"In addition to the above, Arab Bank continues to evolve its digital strategy, driven by innovation and advanced technological capabilities, with a particular focus on artificial intelligence and predictive analytics."
ARBK|2025-04-06|DisclosuresDirectorsReport|jsc_DescriptionOfCompanysMainActivitiesWithTheirRespectiveGeographicalLocationsSizeOfCapitalInvestmentAndNumberOfEmployees|0|en|39,ARBK,2025-04-06,en,DisclosuresDirectorsReport,0.9986,1,Big Data,Big Data,False,False,,1,Advanced data analytics and proactive communications aim to ensure customers receive useful content that meets their aspirations and facilitate their banking transactions.
ARBK|2025-04-06|DisclosuresDirectorsReport|jsc_DescriptionOfCompanysMainActivitiesWithTheirRespectiveGeographicalLocationsSizeOfCapitalInvestmentAndNumberOfEmployees|0|ar|6,ARBK,2025-04-06,ar,DisclosuresDirectorsReport,0.9986,1,Big Data,Big Data,False,False,,1,ساهمت مجموعة الأعمال المصرفية للشركات والمؤسسات المالية أيضاً في تعزيز التحول الرقمي للبنك وتحسين تجربة عملاء الشركات والمؤسسات بما توفره من قنوات رقمية متطورة، إلى جانب توظيف تحليلات البيانات لتعزيز كفاءة عملية اتخاذ القرار وترسيخ مكانة البنك التنافسية.
ARBK|2025-04-06|DisclosuresDirectorsReport|jsc_DescriptionOfCompanysMainActivitiesWithTheirRespectiveGeographicalLocationsSizeOfCapitalInvestmentAndNumberOfEmployees|0|ar|19,ARBK,2025-04-06,ar,DisclosuresDirectorsReport,0.9986,1,AI/ML,AI/ML,True,True,ب+مصدر,2,وإلى جانب ما سبق، يواصل البنك التزامه بتطوير استراتيجيته الرقمية المدعومة بالابتكار والقدرات التقنية المتقدمة، وعلى رأسها الذكاء الاصطناعي والتحليل الاستباقي.
ARBK|2025-04-06|DisclosuresDirectorsReport|jsc_DisclosureOfCompanysAccomplishmentsSupportedByQuantitativeIndicatorsAndDescriptionOfSignificantOccurrencesToCompanyDuringFiscalYear|0|en|10,ARBK,2025-04-06,en,DisclosuresDirectorsReport,0.9987,1,AI/ML,AI/ML,True,True,deploy,2,"The Group continues to enhance operational efficiency by deploying digital technologies and artificial intelligence tools within an institutional framework across all business units, while continuing to implement its digital strategy to provide digital banking services that meet the aspirations and financial needs of its customers."
ARBK|2025-04-06|DisclosuresDirectorsReport|jsc_DisclosureOfCompanysAccomplishmentsSupportedByQuantitativeIndicatorsAndDescriptionOfSignificantOccurrencesToCompanyDuringFiscalYear|0|en|46,ARBK,2025-04-06,en,DisclosuresDirectorsReport,0.9987,1,AI/ML,AI/ML,True,True,use,2,"For loan products, Consumer Banking and Wealth Management focused on digitisation and the extensive use of artificial intelligence solutions."
ARBK|2025-04-06|DisclosuresDirectorsReport|jsc_DisclosureOfCompanysAccomplishmentsSupportedByQuantitativeIndicatorsAndDescriptionOfSignificantOccurrencesToCompanyDuringFiscalYear|0|en|47,ARBK,2025-04-06,en,DisclosuresDirectorsReport,0.9987,1,AI/ML,AI/ML,True,True,use,2,The bank developed credit behaviour assessment models using machine learning algorithms and statistical logic to accurately identify creditworthy customers and make sound credit decisions regarding suitable facilities.
ARBK|2025-04-06|DisclosuresDirectorsReport|jsc_DisclosureOfCompanysAccomplishmentsSupportedByQuantitativeIndicatorsAndDescriptionOfSignificantOccurrencesToCompanyDuringFiscalYear|0|en|51,ARBK,2025-04-06,en,DisclosuresDirectorsReport,0.9987,1,AI/ML,AI/ML,True,True,use,2,"The bank also developed its interactive personal assistant, (Al Arabi), using artificial intelligence technologies to enable customer service staff to process customer voice notes and provide more personalised and seamless support services."
ARBK|2025-04-06|DisclosuresDirectorsReport|jsc_DisclosureOfCompanysAccomplishmentsSupportedByQuantitativeIndicatorsAndDescriptionOfSignificantOccurrencesToCompanyDuringFiscalYear|0|ar|7,ARBK,2025-04-06,ar,DisclosuresDirectorsReport,0.9986,1,AI/ML,AI/ML,True,True,ب+مصدر,2,وفي إطار تعزيز توجهات البنك على صعيد التحول الرقمي، واصلت المجموعة التركيز على تعزيز كفاءة عملياتها عبر توظيف التقنيات الرقمية وأدوات الذكاء الاصطناعي ضمن إطار عمل مؤسسي لبرنامج تحول رقمي منظم على مستوى كافة قطاعات الأعمال، كما وتواصل المجموعة تنفيذ استراتيجيتها الرقمية لتوفير خدمات مصرفية رقمية تلبي تطلعات عملائها واحتياجاتهم المالية.
ARBK|2025-04-06|DisclosuresDirectorsReport|jsc_DisclosureOfCompanysContributionToEnvironmentalProtectionAndLocalCommunityService|0|en|13,ARBK,2025-04-06,en,DisclosuresDirectorsReport,0.9986,1,SAR,SAR,True,True,implement,2,"In addition, the Operations Department launched a project to review and update the lists of archives and retention periods for various bank documents while continuing to implement the electronic archiving system, which enhances the bank’s goal of transitioning to a paperless work environment."
ARBK|2025-04-06|DisclosuresDirectorsReport|jsc_DisclosureOfCompanysRiskExposure|0|en|120,ARBK,2025-04-06,en,DisclosuresDirectorsReport,0.9987,1,AI/ML|Big Data,AI/ML|Big Data,False,True,use,1,Advanced fraud prevention and detection systems using AI and machine learning have been implemented with real-time monitoring enhancing prevention and detection capabilities.
ARBK|2025-04-06|DisclosuresDirectorsReport|jsc_DisclosureOfCompanysRiskExposure|0|en|149,ARBK,2025-04-06,en,DisclosuresDirectorsReport,0.9987,1,AI/ML,AI/ML,False,False,integrate,1,"Artificial Intelligence and BCRM Partnership: This partnership represents a long-term, ongoing effort to integrate advanced technologies into BCRM operations, ensuring that the bank remains resilient in the face of emerging risks."
ARBK|2025-04-06|DisclosuresDirectorsReport|jsc_DisclosureOfCompanysRiskExposure|0|en|150,ARBK,2025-04-06,en,DisclosuresDirectorsReport,0.9986,1,AI/ML,AI/ML,True,True,leverage,2,"As a result of this collaboration an advanced playbooks for incident response, leveraging AI and machine learning to predict and response to emerging risks that could impact the bank’s operations or disrupt services."
ARBK|2025-04-06|DisclosuresDirectorsReport|jsc_DisclosureOfCompanysRiskExposure|0|ar|114,ARBK,2025-04-06,ar,DisclosuresDirectorsReport,0.9986,1,AI/ML,AI/ML,True,True,ب+مصدر,2,كما طبق البنك أنظمة حديثة للكشف الفوري عن محاولات الاحتيال والوقاية منها، وذلك باستخدام تقنيات متطورة تشمل الذكاء الاصطناعي والتعلم الآلي ، بهدف تعزيز قدرات البنك في مجال مكافحة الاحتيال.
ARBK|2025-04-06|DisclosuresDirectorsReport|jsc_DisclosureOfCompanysRiskExposure|0|ar|138,ARBK,2025-04-06,ar,DisclosuresDirectorsReport,0.9986,1,AI/ML,AI/ML,False,False,,1,إدارة استمرارية ومرونة الأعمال والشراكة مع فريق الذكاء الاصطناعي: تمثل هذه الشراكة جهداً طويل الأمد ومستمراً لدمج التقنيات المتقدمة في عمليات إدارة استمرارية ومرونة الأعمال، مما يضمن بقاء البنك مرناً في مواجهة المخاطر الناشئة.
ARBK|2025-04-06|DisclosuresDirectorsReport|jsc_DisclosureOfCompanysRiskExposure|0|ar|139,ARBK,2025-04-06,ar,DisclosuresDirectorsReport,0.9986,1,AI/ML,AI/ML,False,True,اعتمد,1,وقد أثمر هذا التعاون عن تطوير أدلة استجابة متقدمة للحوادث، تعتمد على تقنيات الذكاء الاصطناعي وتعلم الآلة، وذلك للتنبؤ بالمخاطر والاستجابة لها بشكل استباقي، والحد من تأثيرها على عمليات البنك أو تعطيل خدماته.
ARBK|2025-04-06|DisclosuresDirectorsReport|jsc_DisclosureOfImportantProspectiveDevelopmentsIncludingAnyNewExpansionsAndProjectsCompanysProposedPlanForAtLeastOneUpcomingYearAndBoardOfDirectorsForecastsForOutcomesOfCompanyActivities|0|en|8,ARBK,2025-04-06,en,DisclosuresDirectorsReport,0.9986,1,AI/ML,AI/ML,False,False,,1,"The bank places significant importance on artificial intelligence applications, particularly generative AI."
ARBK|2025-04-06|DisclosuresDirectorsReport|jsc_DisclosureOfImportantProspectiveDevelopmentsIncludingAnyNewExpansionsAndProjectsCompanysProposedPlanForAtLeastOneUpcomingYearAndBoardOfDirectorsForecastsForOutcomesOfCompanyActivities|0|en|20,ARBK,2025-04-06,en,DisclosuresDirectorsReport,0.9986,1,Big Data,Big Data,False,False,,1,"Corporate and Institutional Banking The Corporate and Institutional Banking division aims to expand its market share and strengthen client relationships through various strategic initiatives, most notably by enhancing its data analytics capabilities."
